report_begin_date,report_end_date,report_date,published_Date,market_type,state,city,slug_id,slug_name,report_title,final_ind,report_narrative,special_notes,_section,published_date,office_name,office_state,office_city,market_location_name,market_location_state,market_location_city,group,category,commodity,variety,repack,package,storage,transportation_mode,grade,unit_sales,item_size,appearance,quality,condition,organic,crop,origin,district,environment,properties,low_price,high_price,mostly_low_price,mostly_high_price,market_tone_comments,offerings_comments,reporter_comment,commodity_comments,report_footnotes
01/20/2026,01/20/2026,01/20/2026,01/20/2026 13:31:37,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 53
YESTERDAY'S HIGH  74

                  *** Market Tones omitted as no reports were issued Monday, January 19, 2026, while this office was closed in observance of the Birthday of Martin Luther King, Jr. ***",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2026,01/16/2026,01/16/2026,01/16/2026 13:58:29,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 54
YESTERDAY'S HIGH  84

*** No reports will be issued Monday, January 19, 2026, in observance of the Birthday of Martin Luther King, Jr.
            Los Angeles Terminal Market will remain open - Next report will be Tuesday, January 20, 2026 ***",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2026,01/15/2026,01/15/2026,01/15/2026 13:33:31,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Sunny 58
YESTERDAY'S HIGH  82",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2026,01/14/2026,01/14/2026,01/14/2026 13:07:57,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Sunny 54
YESTERDAY'S HIGH  82",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2026,01/13/2026,01/13/2026,01/13/2026 13:42:27,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 49
YESTERDAY'S HIGH  75",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2026,01/12/2026,01/12/2026,01/12/2026 13:22:05,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 47
YESTERDAY'S HIGH  77",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2026,01/09/2026,01/09/2026,01/09/2026 13:30:16,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 44
YESTERDAY'S HIGH  63",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2026,01/08/2026,01/08/2026,01/08/2026 13:44:49,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 50
YESTERDAY'S HIGH  66",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2026,01/07/2026,01/07/2026,01/07/2026 13:43:27,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 53
YESTERDAY'S HIGH  66",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2026,01/06/2026,01/06/2026,01/06/2026 13:41:06,Terminal,CA,Los Angeles,2306,HC_FV010,Los Angeles Terminal Market Fruit Prices (HC_FV010),Final,"Email: LosAngelesSCMNData@usda.gov                                             
WEATHER AT 7:00 AM:  Clear 55
YESTERDAY'S HIGH  63",,Report Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
